ten_case,hang,thong_so,gia_vnd,link_hinh_anh,category
"Case Deepcool CH160 Plus Micro ATX | không kèm Fan, Đen",Deepcool,"Case Deepcool CH160 Plus Micro ATX | không kèm Fan, Đen",1399000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
"Case Deepcool CH160 Plus Micro ATX | không kèm Fan, Trắng",Deepcool,"Case Deepcool CH160 Plus Micro ATX | không kèm Fan, Trắng",1419000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
"Case Gaming Corsair 3500X Mid-Tower Call Of Duty Black OPS | No Fan, Đen",Corsair,"Case Gaming Corsair 3500X Mid-Tower Call Of Duty Black OPS | No Fan, Đen",2049000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
"Case văn phòng Patriot J102 - Đen, Form Slim",Unknown,"Case văn phòng Patriot J102 - Đen, Form Slim",359000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
"Case Xigmatek Pura MS | Hỗ trợ AIO 240, Đen",Xigmatek,"Case Xigmatek Pura MS | Hỗ trợ AIO 240, Đen",699000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
Thùng máy Acer V950 ATX - Black | Kèm sẵn 4 fan ARGB,Unknown,Thùng máy Acer V950 ATX - Black | Kèm sẵn 4 fan ARGB,1599000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
Thùng máy Acer V950 ATX - White | Kèm sẵn 4 fan ARGB,Unknown,Thùng máy Acer V950 ATX - White | Kèm sẵn 4 fan ARGB,1659000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
Thùng máy Acer V951 M-ATX - Black | Kèm sẵn 3 fan ARGB,Unknown,Thùng máy Acer V951 M-ATX - Black | Kèm sẵn 3 fan ARGB,1289000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
"Thùng máy Aqual X2-M | Micro-ATX, Trắng",Unknown,"Thùng máy Aqual X2-M | Micro-ATX, Trắng",469000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
"Thùng máy ASUS A21 Mesh - Đen | AIO 360 Top, Micro ATX, không fan",ASUS,"Thùng máy ASUS A21 Mesh - Đen | AIO 360 Top, Micro ATX, không fan",1259000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
"Thùng máy ASUS A21 Mesh - Trắng | AIO 360 Top, Micro ATX, không fan",ASUS,"Thùng máy ASUS A21 Mesh - Trắng | AIO 360 Top, Micro ATX, không fan",1349000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
"Thùng máy ASUS A31 ATX - Đen | Không fan đi kèm, AIO 360 Top",ASUS,"Thùng máy ASUS A31 ATX - Đen | Không fan đi kèm, AIO 360 Top",1799000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
Thùng máy Asus Prime AP202 ARGB M-ATX (Không Fan Đi Kèm) (Aio 360 Top) - Đen,ASUS,Thùng máy Asus Prime AP202 ARGB M-ATX (Không Fan Đi Kèm) (Aio 360 Top) - Đen,1899000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
"Thùng máy ASUS ProArt PA602 - Black | E-ATX, kèm sẵn 2 fan 20cm, 1 fan 14cm",ASUS,"Thùng máy ASUS ProArt PA602 - Black | E-ATX, kèm sẵn 2 fan 20cm, 1 fan 14cm",6499000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
"Thùng máy ASUS ProArt PA602 Wood Edition - Tempered Glass Panel | Kèm sẵn 2 fan 20cm, 1 fan 14cm",ASUS,"Thùng máy ASUS ProArt PA602 Wood Edition - Tempered Glass Panel | Kèm sẵn 2 fan 20cm, 1 fan 14cm",7499000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
"Thùng máy Asus ROG Hyperion GR701 | Đen, kèm sẵn 4 fan",ASUS,"Thùng máy Asus ROG Hyperion GR701 | Đen, kèm sẵn 4 fan",11499000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
"Thùng máy ASUS TUF Gaming GT302 ARGB - Black | E-ATX, kèm sẵn 4 fan 14cm ARGB",ASUS,"Thùng máy ASUS TUF Gaming GT302 ARGB - Black | E-ATX, kèm sẵn 4 fan 14cm ARGB",3199000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
Thùng máy Bitcoin 4U 4U2 (4 Fan – Lắp 8 VGA),Unknown,Thùng máy Bitcoin 4U 4U2 (4 Fan – Lắp 8 VGA),690000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
Thùng máy Bitcoin 4U 4W5 (3 Fan – Lắp 6 VGA),Unknown,Thùng máy Bitcoin 4U 4W5 (3 Fan – Lắp 6 VGA),990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
Thùng máy Bitcoin 4U 4W9 (4 Fan – Lắp 8 VGA),Unknown,Thùng máy Bitcoin 4U 4W9 (4 Fan – Lắp 8 VGA),1090000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
