ten,category,hang,gia,thong_so,link_hinh_anh,ten_ram,loai_ram,dung_luong,gia_vnd,ten_cpu,ten_mainboard,ten_vga,ten_ssd,ten_hdd,ten_case,ten_psu
Ram 5 32Gx2 6000 Corsair Vengeance Rgb Cmh64Gx5M2B6000C38,RAM,,22811000,,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Ram 5 32Gx2 6000 Corsair Vengeance Rgb Cmh64Gx5M2B6000C38,Unknown,,22811000,,,,,,,
"Ram Adata XPG D35G RGB Black 16GB | DDR4, 3200MHz, C16",RAM,,3690000,16GB 3200MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"Ram Adata XPG D35G RGB Black 16GB | DDR4, 3200MHz, C16",DDR4,16GB,3690000,,,,,,,
"Ram Adata XPG D35G RGB White 16GB | DDR4, 3200MHz, C16",RAM,,3690000,16GB 3200MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"Ram Adata XPG D35G RGB White 16GB | DDR4, 3200MHz, C16",DDR4,16GB,3690000,,,,,,,
"Ram Apacer NOX RGB Black 16GB | 1 x 16GB, DDR4, 3200MHz – AH4U16G32C28YNBAA-1",RAM,,3690000,16GB 3200MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"Ram Apacer NOX RGB Black 16GB | 1 x 16GB, DDR4, 3200MHz – AH4U16G32C28YNBAA-1",DDR4,16GB,3690000,,,,,,,
"Ram Apacer NOX RGB Black 8GB | 1 x 8GB, DDR4, 3200MHz (AH4U08G32C28YNBAA-1)",RAM,,2090000,8GB 3200MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"Ram Apacer NOX RGB Black 8GB | 1 x 8GB, DDR4, 3200MHz (AH4U08G32C28YNBAA-1)",DDR4,8GB,2090000,,,,,,,
"Ram Kingston Fury Beast 32GB | 32GB x 1, DDR5, 5600MHz (Kf556C40Bb-32)",RAM,,9399000,32GB 5600MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"Ram Kingston Fury Beast 32GB | 32GB x 1, DDR5, 5600MHz (Kf556C40Bb-32)",DDR5,32GB,9399000,,,,,,,
"RAM Laptop Acer SD100 16GB DDR4 3200MHz SO-DIMM (BL.9BWWA.213) | 1x16GB, 3200MHz",RAM,,3590000,16GB 3200MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"RAM Laptop Acer SD100 16GB DDR4 3200MHz SO-DIMM (BL.9BWWA.213) | 1x16GB, 3200MHz",DDR4,16GB,3590000,,,,,,,
"RAM Laptop ADATA Premier 16GB DDR4 | (1x16GB), 3200MHz, SO-DIMM (AD4S320016G22-SGN)",RAM,,2990000,16GB 3200MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"RAM Laptop ADATA Premier 16GB DDR4 | (1x16GB), 3200MHz, SO-DIMM (AD4S320016G22-SGN)",DDR4,16GB,2990000,,,,,,,
"RAM Laptop ADATA Premier 8GB DDR4 | (1x8GB), 3200MHz, SO-DIMM (AD4S32008G22-SGN)",RAM,,1550000,8GB 3200MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"RAM Laptop ADATA Premier 8GB DDR4 | (1x8GB), 3200MHz, SO-DIMM (AD4S32008G22-SGN)",DDR4,8GB,1550000,,,,,,,
"RAM Laptop AGI SD138 16GB DDR4 3200MHz SODIMM (AGI320016SD138-ST) | (1x16GB), 3200MHz, SODIMM",RAM,,3790000,16GB 3200MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"RAM Laptop AGI SD138 16GB DDR4 3200MHz SODIMM (AGI320016SD138-ST) | (1x16GB), 3200MHz, SODIMM",DDR4,16GB,3790000,,,,,,,
