ten_cpu,hang,thong_so,gia_vnd,link_hinh_anh,category
"CPU AMD A8 7680 | FM2+, 4 nhân/4 luồng, Max 3.8 GHz",AMD,"CPU AMD A8 7680 | FM2+, 4 nhân/4 luồng, Max 3.8 GHz",490000590000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Athlon 3000G | AM4, 2 nhân/4 luồng",AMD,"CPU AMD Athlon 3000G | AM4, 2 nhân/4 luồng",5500001230000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen 3 3200G | AM4, 4 nhân/4 luồng, Max 4.0 GHz",AMD,"CPU AMD Ryzen 3 3200G | AM4, 4 nhân/4 luồng, Max 4.0 GHz",8900001780000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen 3 3300X | AM4, 4 nhân/8 luồng, Max 4.3 GHz",AMD,"CPU AMD Ryzen 3 3300X | AM4, 4 nhân/8 luồng, Max 4.3 GHz",2290000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen 3 4100 MPK Tray - Nobox | AM4, 4 nhân/8 luồng, Max 4.0 GHz",AMD,"CPU AMD Ryzen 3 4100 MPK Tray - Nobox | AM4, 4 nhân/8 luồng, Max 4.0 GHz",1890000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen 3 4100 | AM4, 4 nhân/8 luồng, Max 4.0 GHz",AMD,"CPU AMD Ryzen 3 4100 | AM4, 4 nhân/8 luồng, Max 4.0 GHz",1890000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen 3 4300G | AM4, 4 nhân/8 luồng, Max 4.0 GHz",AMD,"CPU AMD Ryzen 3 4300G | AM4, 4 nhân/8 luồng, Max 4.0 GHz",2190000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen 5 3400G | AM4, 4 nhân/8 luồng, Max 4.2 GHz",AMD,"CPU AMD Ryzen 5 3400G | AM4, 4 nhân/8 luồng, Max 4.2 GHz",1890000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen 5 5500 | AM4, 6 nhân/12 luồng, Max 4.2 GHz",AMD,"CPU AMD Ryzen 5 5500 | AM4, 6 nhân/12 luồng, Max 4.2 GHz",2190000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen 5 5500GT Tray - Nobox | AM4, 6 nhân/12 luồng, Max 4.4Ghz",AMD,"CPU AMD Ryzen 5 5500GT Tray - Nobox | AM4, 6 nhân/12 luồng, Max 4.4Ghz",3390000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
