ten_mainboard,hang,thong_so,gia_vnd,link_hinh_anh,category
"Mainboard AIWOLF AW-H310D4 (PN 966868310) | LGA 1151, mATX, 2 khe RAM",Unknown,"Mainboard AIWOLF AW-H310D4 (PN 966868310) | LGA 1151, mATX, 2 khe RAM",1250000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard AIWOLF AW-H510D4 (PN 966868510) | LGA 1200, mATX, 2 khe RAM",Unknown,"Mainboard AIWOLF AW-H510D4 (PN 966868510) | LGA 1200, mATX, 2 khe RAM",1490000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASRock A520M-HVS | AM4, Micro-ATX, 2 khe RAM",ASRock,"Mainboard ASRock A520M-HVS | AM4, Micro-ATX, 2 khe RAM",1340000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASRock A520M.AC Wifi DDR4 | AM4, ATX, 2 khe RAM",ASRock,"Mainboard ASRock A520M.AC Wifi DDR4 | AM4, ATX, 2 khe RAM",1580000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASRock A620AM-HVS DDR5 | AM5, mATX, 2 khe RAM",ASRock,"Mainboard ASRock A620AM-HVS DDR5 | AM5, mATX, 2 khe RAM",1850000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASRock B550M PRO SE DDR4 | AM4, mATX, 4 khe RAM",ASRock,"Mainboard ASRock B550M PRO SE DDR4 | AM4, mATX, 4 khe RAM",2490000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASRock B550M Pro4 DDR4 | AM4, mATX, 4 khe RAM",ASRock,"Mainboard ASRock B550M Pro4 DDR4 | AM4, mATX, 4 khe RAM",2390000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASRock B650M Pro RS Wifi DDR5 | AM5, mATX, 4 khe RAM",ASRock,"Mainboard ASRock B650M Pro RS Wifi DDR5 | AM5, mATX, 4 khe RAM",3450000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASRock B650M-HDV/M.2 DDR5 | AM5, mATX, 2 khe RAM",ASRock,"Mainboard ASRock B650M-HDV/M.2 DDR5 | AM5, mATX, 2 khe RAM",2890000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASRock B650M-HDV/M.2 White DDR5 | AM5, mATX, 2 khe RAM",ASRock,"Mainboard ASRock B650M-HDV/M.2 White DDR5 | AM5, mATX, 2 khe RAM",2890000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
