ten_ram,loai_ram,dung_luong,thong_so,gia_vnd,link_hinh_anh,category
Ram 5 32Gx2 6000 Corsair Vengeance Rgb Cmh64Gx5M2B6000C38,Unknown,N/A,N/A,22811000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"Ram Adata XPG D35G RGB Black 16GB | DDR4, 3200MHz, C16",DDR4,16GB,16GB 3200MHz,3690000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"Ram Adata XPG D35G RGB White 16GB | DDR4, 3200MHz, C16",DDR4,16GB,16GB 3200MHz,3690000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"Ram Apacer NOX RGB Black 16GB | 1 x 16GB, DDR4, 3200MHz – AH4U16G32C28YNBAA-1",DDR4,16GB,16GB 3200MHz,3690000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"Ram Apacer NOX RGB Black 8GB | 1 x 8GB, DDR4, 3200MHz (AH4U08G32C28YNBAA-1)",DDR4,8GB,8GB 3200MHz,2090000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"Ram Kingston Fury Beast 32GB | 32GB x 1, DDR5, 5600MHz (Kf556C40Bb-32)",DDR5,32GB,32GB 5600MHz,9399000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM Laptop Acer SD100 16GB DDR4 3200MHz SO-DIMM (BL.9BWWA.213) | 1x16GB, 3200MHz",DDR4,16GB,16GB 3200MHz,3590000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM Laptop ADATA Premier 16GB DDR4 | (1x16GB), 3200MHz, SO-DIMM (AD4S320016G22-SGN)",DDR4,16GB,16GB 3200MHz,2990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM Laptop ADATA Premier 8GB DDR4 | (1x8GB), 3200MHz, SO-DIMM (AD4S32008G22-SGN)",DDR4,8GB,8GB 3200MHz,1550000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM Laptop AGI SD138 16GB DDR4 3200MHz SODIMM (AGI320016SD138-ST) | (1x16GB), 3200MHz, SODIMM",DDR4,16GB,16GB 3200MHz,3790000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM Laptop Biwin RS100 16GB DDR4 3200MHz SODIMM (BMS41632SD-S22BG) | (1x16GB), 3200MHz, SODIMM",DDR4,16GB,16GB 3200MHz,3500000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM Laptop BIWIN RS200 16GB DDR5 | (1x16GB), 4800MHz BD5SD16G48C40",DDR5,16GB,16GB 4800MHz,3790000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM Laptop BIWIN RS200 32GB DDR5 | (1x32GB), 4800MHz BD5SD32G48C40",DDR5,32GB,32GB 4800MHz,7290000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
