ten_ssd,hang,thong_so,gia_vnd,link_hinh_anh,category
"Ổ cứng SSD ADATA LEGEND 710 512GB | PCIe Gen3 x4 NVMe, M.2 2280 (ALEG-710-512GCS)",ADATA,"Ổ cứng SSD ADATA LEGEND 710 512GB | PCIe Gen3 x4 NVMe, M.2 2280 (ALEG-710-512GCS)",2350000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD ADATA LEGEND 900 Pro 1TB | PCIe Gen4 x4 NVMe, M.2 2280",ADATA,"Ổ cứng SSD ADATA LEGEND 900 Pro 1TB | PCIe Gen4 x4 NVMe, M.2 2280",4290000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD ADATA SU650 1TB | SATA III, 2.5"" (ASU650SS-1TT-R)",ADATA,"Ổ cứng SSD ADATA SU650 1TB | SATA III, 2.5"" (ASU650SS-1TT-R)",3090000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD ADATA SU650 256GB | SATA III, 2.5""",ADATA,"Ổ cứng SSD ADATA SU650 256GB | SATA III, 2.5""",1290000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD ADATA SU650 512GB | SATA III, 2.5""",ADATA,"Ổ cứng SSD ADATA SU650 512GB | SATA III, 2.5""",1950000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD ADATA SX8100NP 4TB | PCIe Gen3 x4 NVMe, M.2 2280 (ASX8100NP-4TT-C)",ADATA,"Ổ cứng SSD ADATA SX8100NP 4TB | PCIe Gen3 x4 NVMe, M.2 2280 (ASX8100NP-4TT-C)",11990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD ADATA XPG S50 Lite 2TB | PCIe Gen4 x4 NVMe, M.2 2280 (AGAMMIXS50L-2T-CS)",ADATA,"Ổ cứng SSD ADATA XPG S50 Lite 2TB | PCIe Gen4 x4 NVMe, M.2 2280 (AGAMMIXS50L-2T-CS)",4990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
Ổ cứng SSD Apacer 512G AS350X Sata III (AP512GAS350XR-1),Acer,Ổ cứng SSD Apacer 512G AS350X Sata III (AP512GAS350XR-1),1950000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD Colorful SL500 256GB | SATA III, 2.5""",Colorful,"Ổ cứng SSD Colorful SL500 256GB | SATA III, 2.5""",990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD Corsair Force Series MP510 480GB | PCIe Gen3 x4 NVMe, M.2 2280 (CSSD-F480GBMP510)",Corsair,"Ổ cứng SSD Corsair Force Series MP510 480GB | PCIe Gen3 x4 NVMe, M.2 2280 (CSSD-F480GBMP510)",2190000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD Corsair MP600 CORE XT 1TB | PCIe Gen4 x4 NVMe, M.2 2280",Corsair,"Ổ cứng SSD Corsair MP600 CORE XT 1TB | PCIe Gen4 x4 NVMe, M.2 2280",4690000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD Corsair MP600 PRO 2TB | PCIe Gen4 x4 NVMe, M.2 2280 (CSSD-F2000GBMP600PRO)",Corsair,"Ổ cứng SSD Corsair MP600 PRO 2TB | PCIe Gen4 x4 NVMe, M.2 2280 (CSSD-F2000GBMP600PRO)",5490000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD Crucial P310 1TB | PCIe Gen4 x4 NVMe, M.2 2230 (CT1000P310SSD2)",Crucial,"Ổ cứng SSD Crucial P310 1TB | PCIe Gen4 x4 NVMe, M.2 2230 (CT1000P310SSD2)",3990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD Crucial P510 1TB | PCIe Gen5 x4 NVMe, M.2 2280 (CT1000P510SSD8)",Crucial,"Ổ cứng SSD Crucial P510 1TB | PCIe Gen5 x4 NVMe, M.2 2280 (CT1000P510SSD8)",4890000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD di động Kioxia Exceria Plus G2 1TB | USB 3.2 Gen 2, Portable (LXD20K001TG8)",Unknown,"Ổ cứng SSD di động Kioxia Exceria Plus G2 1TB | USB 3.2 Gen 2, Portable (LXD20K001TG8)",3890000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD di động Patriot Transporter Lite 1TB | USB 3.2 Gen 1, Portable (PTPL1TBPEC)",Patriot,"Ổ cứng SSD di động Patriot Transporter Lite 1TB | USB 3.2 Gen 1, Portable (PTPL1TBPEC)",2990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD di động Samsung T7 1TB | USB 3.2 Gen 2, Portable (MU-PC1T0T/WW)",Samsung,"Ổ cứng SSD di động Samsung T7 1TB | USB 3.2 Gen 2, Portable (MU-PC1T0T/WW)",4690000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD Gigabyte AORUS 7000S 2TB | PCIe Gen4 x4 NVMe, M.2 2280 (GP-AG70S2TB)",Gigabyte,"Ổ cứng SSD Gigabyte AORUS 7000S 2TB | PCIe Gen4 x4 NVMe, M.2 2280 (GP-AG70S2TB)",5290000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD Hiksemi 256GB | PCIe Gen3 x4 NVMe, M.2 2280",Unknown,"Ổ cứng SSD Hiksemi 256GB | PCIe Gen3 x4 NVMe, M.2 2280",1030000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD Hiksemi 256GB | SATA III, 2.5""",Unknown,"Ổ cứng SSD Hiksemi 256GB | SATA III, 2.5""",1190000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD Hiksemi 512GB | PCIe Gen3 x4 NVMe, M.2 2280",Unknown,"Ổ cứng SSD Hiksemi 512GB | PCIe Gen3 x4 NVMe, M.2 2280",2150000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD Hiksemi 512GB | SATA III, 2.5""",Unknown,"Ổ cứng SSD Hiksemi 512GB | SATA III, 2.5""",1850000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD HP BIWIN SP423 256GB | SATA III, M.2 2280 (CE480T5D10A-256)",HP,"Ổ cứng SSD HP BIWIN SP423 256GB | SATA III, M.2 2280 (CE480T5D10A-256)",1090000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD KingSpec NE 512GB | PCIe Gen3 x4 NVMe, M.2 2280 (NE-512)",KingSpec,"Ổ cứng SSD KingSpec NE 512GB | PCIe Gen3 x4 NVMe, M.2 2280 (NE-512)",2090000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD Kingston A400 480GB | SATA III, 2.5"" (SA400S37/480G)",Kingston,"Ổ cứng SSD Kingston A400 480GB | SATA III, 2.5"" (SA400S37/480G)",3150000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD Kingston FURY Renegade G5 1TB | PCIe Gen5 x4 NVMe, M.2 2280 (SFYR2S/1T0)",Kingston,"Ổ cứng SSD Kingston FURY Renegade G5 1TB | PCIe Gen5 x4 NVMe, M.2 2280 (SFYR2S/1T0)",5500000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD Kingston NV3 1TB | PCIe Gen4 x4 NVMe, M.2 2280 (SNV3S/1000G)",Kingston,"Ổ cứng SSD Kingston NV3 1TB | PCIe Gen4 x4 NVMe, M.2 2280 (SNV3S/1000G)",4250000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD Kingston NV3 500GB | PCIe Gen4 x4 NVMe, M.2 2280 (SNV3S/500G)",Kingston,"Ổ cứng SSD Kingston NV3 500GB | PCIe Gen4 x4 NVMe, M.2 2280 (SNV3S/500G)",2790000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD Kioxia Exceria 480GB | SATA III, 2.5""",Unknown,"Ổ cứng SSD Kioxia Exceria 480GB | SATA III, 2.5""",1150000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD Kioxia Exceria 960GB | SATA III, 2.5"" (LTC10Z960GG8)",Unknown,"Ổ cứng SSD Kioxia Exceria 960GB | SATA III, 2.5"" (LTC10Z960GG8)",2990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD Kioxia Exceria G2 1TB | PCIe Gen3 x4 NVMe, M.2 2280",Unknown,"Ổ cứng SSD Kioxia Exceria G2 1TB | PCIe Gen3 x4 NVMe, M.2 2280",3490000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
