ten_vga,hang,thong_so,gia_vnd,link_hinh_anh,category
"Card màn hình AMD Radeon RX 550 T-WOLF RX 550 | 4GB GDDR5, 512 SP, 350W",AMD,"Card màn hình AMD Radeon RX 550 T-WOLF RX 550 | 4GB GDDR5, 512 SP, 350W",1790000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình AMD Radeon RX 580 T-WOLF White Dual | 8GB GDDR5, 2304 SP, 500W",AMD,"Card màn hình AMD Radeon RX 580 T-WOLF White Dual | 8GB GDDR5, 2304 SP, 500W",2490000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình AMD Radeon RX 580 T-WOLF | 8GB GDDR5, 2304 SP, 500W",AMD,"Card màn hình AMD Radeon RX 580 T-WOLF | 8GB GDDR5, 2304 SP, 500W",3190000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình AMD Radeon RX 6500 XT Gigabyte EAGLE | 4GB GDDR6, 1024 SP, 400W",AMD,"Card màn hình AMD Radeon RX 6500 XT Gigabyte EAGLE | 4GB GDDR6, 1024 SP, 400W",3890000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình AMD Radeon RX 6900 XT ASRock Formula OC | 16GB GDDR6, 5120 SP, 1000W",AMD,"Card màn hình AMD Radeon RX 6900 XT ASRock Formula OC | 16GB GDDR6, 5120 SP, 1000W",18900000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình AMD Radeon RX 6900 XT ASUS TUF Gaming OC | 16GB GDDR6, 5120 SP, 850W",AMD,"Card màn hình AMD Radeon RX 6900 XT ASUS TUF Gaming OC | 16GB GDDR6, 5120 SP, 850W",20990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình AMD Radeon RX 6900 XT ASUS TUF Gaming TOP Edition | 16GB GDDR6, 5120 SP, 850W",AMD,"Card màn hình AMD Radeon RX 6900 XT ASUS TUF Gaming TOP Edition | 16GB GDDR6, 5120 SP, 850W",21990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình AMD Radeon RX 7600 ASUS Dual EVO OC | 8GB GDDR6, 2048 SP, 550W",AMD,"Card màn hình AMD Radeon RX 7600 ASUS Dual EVO OC | 8GB GDDR6, 2048 SP, 550W",6790000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình AMD Radeon RX 7600 Gigabyte GAMING OC | 8GB GDDR6, 2048 SP, 550W",AMD,"Card màn hình AMD Radeon RX 7600 Gigabyte GAMING OC | 8GB GDDR6, 2048 SP, 550W",6850000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình AMD Radeon RX 7600 SAPPHIRE PULSE OC | 8GB GDDR6, 2048 SP, 550W",AMD,"Card màn hình AMD Radeon RX 7600 SAPPHIRE PULSE OC | 8GB GDDR6, 2048 SP, 550W",6990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
